,Albany,Great Danes,ALBY
,Central Connecticut State,Blue Devils,CCSU
Murray State,Murray State,Racers,MURR
,Morehead State,Eagles,MORE
,Jacksonville State,Gamecocks,JVST
,Southeast Missouri State,Redhawks,SEMO
,UT Martin,Skyhawks,UTM
Tennessee State,Tennessee State,Tigers,TNST
,Tenn Tech,Tennessee Tech Golden Eagles,TNTC
Arizona,Arizona,Wildcats,ARIZ
California,California,Golden Bears,CAL
,SIU Edwardsville,Cougars,SIUE
Arizona State,Arizona State,Sun Devils,ASU
Colorado,Colorado,Buffaloes,COLO
,Evansville,Purple Aces,EVAN
Oregon,Oregon,Ducks,ORE
,USC,Trojans,USC
Oregon State,Oregon State,Beavers,ORST
Stanford,Stanford,Cardinal,STAN
,American U,American Eagles,AMER
Utah,Utah,Utes,UTAH
,Army,West Point,ARMY
,UCLA,Bruins,UCLA
,LIU Brooklyn,Blackbirds,LIU
,Washington,Huskies,WASH
Boston University,Boston University,Terriers,BU
Holy Cross,Holy Cross,Crusaders,HC
,Washington State,Cougars,WSU
,Wagner,Seahawks,WAG
,Alabama,Crimson Tide,ALA
,Colgate,Raiders,COLG
Florida,Florida,Gators,FLA
,Navy,Midshipmen,NAVY
,Loyola (MD),Greyhounds,LMD
Bucknell,Bucknell,Bison,BUCK
,Georgia,Bulldogs,UGA
,Lehigh,Mountain Hawks,LEH
,LSU,Tigers,LSU
Missouri,Missouri,Tigers,MIZ
,Ole Miss,Rebels,MISS
,Tennessee,Volunteers,TENN
Lafayette,Lafayette,Leopards,LAF
UT Chattanooga,Tennessee-Chattanooga,Mocs,CHAT
,Auburn,Tigers,AUB
,Texas A&M,Aggies,TAMU
,Mississippi State,Bulldogs,MSST
Furman,Furman,Paladins,FUR
UNC Greensboro,North Carolina-Greensboro,Spartans,UNCG
Western Michigan,Western Michigan,Broncos,WMU
,Vanderbilt,Commodores,VAN
Samford,Samford,Bulldogs,SAM
Virginia Military,Virginia Military,Keydets,VMI
East Tennessee St.,East Tennessee St.,Buccaneers,ETSU
,Kentucky,Wildcats,UK
,Houston Baptist,Huskies,HBU
,Incarnate Word,Cardinals,IW
,Central Arkansas,Bears,UCA
,Lamar,Cardinals,LAM
Western Carolina,Western Carolina,Catamounts,WCU
,McNeese,Cowboys,MCNS
,New Orleans,Privateers,UNO
The Citadel,The Citadel,Bulldogs,CIT
,Northwestern State,Demons,NWST
,Southeastern Louisiana,Lions,SELA
,Alabama A&M,Bulldogs,AAMU
,Nicholls,Colonels,NICH
,Sam Houston,State Bearkats,SHSU
,Stephen F. Austin,Lumberjacks,SFA
,South Carolina,Gamecocks,SC
,Grambling,Tigers,GRAM
,Abilene Christian,Wildcats,ACU
,Alabama State,Hornets,ALST
Jackson State,Jackson State,Tigers,JKST
,Prairie View A&M,Panthers,PV
,Mississippi Valley State,Delta Devils,MVSU
Wofford,Wofford,Terriers,WOF
Southern AM,Southern University A&M,Jaguars,SOU
,Alcorn State,Braves,ALCN
,North Dakota State,Bison,NDSU
,Fort Wayne,Mastodons,IPFW
,Omaha,Mavericks,OMA
,IUPUI,Jaguars,IUPU
Mercer,Mercer,Bears,MER
,Oral Roberts,Golden Eagles,ORU
,South Dakota State,Jackrabbits,SDST
Arkansas State,Arkansas State,Red Wolves,ARST
Appalachian State,Appalachian State,Mountaineers,APP
,South Dakota,Coyotes,SDAK
,Georgia Southern,Eagles,GASO
Georgia State,Georgia State,Panthers,GAST
Louisiana-Monroe,Louisiana Monroe,Warhawks,ULM
Coastal Carolina,Coastal Carolina,Chanticleers,CCU
Arkansas-Little Rock,Arkansas-Little Rock,Trojans,UALR
,Texas State,Bobcats,TXST
,Troy,Trojans,TROY
,South Alabama,Jaguars,USA
,Western Illinois,Leathernecks,WIU
,UT-Arlington,Mavericks,UTA
BYU,Brigham Young,Cougars,BYU
,Denver,Pioneers,DEN
Louisiana-Lafayette,Louisiana-Lafayette,Ragin' Cajuns,ULL
Portland,Portland,Pilots,PORT
Gonzaga,Gonzaga,Bulldogs,GONZ
Loyola-Marymount,Loyola-Marymount,Mount Lions,LMU
Pacific,Pacific,Tigers,PAC
San Francisco,San Francisco,Dons,SF
Santa Clara,Santa Clara,Broncos,SCU
,CSU Bakersfield,Roadrunners,CSB
,Texas Southern,Tigers,TXSO
San Diego,San Diego,Toreros,USD
,Chicago State,Cougars,CHS
,Seattle,Redhawks,SEA
Pepperdine,Pepperdine,Waves,PEPP
St. Marys (CA),Saint Marys College-California,Gaels,SMC
,Grand Canyon,Antelopes,GCU
,UMKC,Kangaroos,UMKC
,New Mexico State,Aggies,NMSU
,UT Rio Grande Valley,Vaqueros,TRGV
,Arkansas Pine Bluff,Golden Lions,UAPB
,Utah Valley,Wolverines,UVU
,Arkansas,Razorbacks,ARK
,Texas A&M-CC,Islanders,AMCC
